id,description,regions,primary_output,start_year
act_advanced,act_advanced,UK,elec,1900
act_chp,act_chp,UK,elec,1900
act_standard,act_standard,UK,elec,1900
ad,ad,UK,elec,1900
ad_chp,ad_chp,UK,elec,1900
biomass_chp,biomass_chp,UK,elec,1900
ccgt_chp_mode,ccgt_chp_mode,UK,elec,1900
coal_conventional_steam,coal_conventional_steam,UK,elec,1900
dedicated_biomass,dedicated_biomass,UK,elec,1900
efw,efw,UK,elec,1900
efw_chp,efw_chp,UK,elec,1900
geothermal_chp,geothermal_chp,UK,elec,1900
hydro,hydro,UK,elec,1900
hydrogen_ccgt,hydrogen_ccgt,UK,elec,1900
landfill_gas,landfill_gas,UK,elec,1900
natural_gas_ccgt,natural_gas_ccgt,UK,elec,1900
natural_gas_ocgt,natural_gas_ocgt,UK,elec,1900
natural_gas_recip,natural_gas_recip,UK,elec,1900
nuclear_agr,nuclear_agr,UK,elec,1900
nuclear_pwr,nuclear_pwr,UK,elec,1900
oil_recip,oil_recip,UK,elec,1900
sewage_gas,sewage_gas,UK,elec,1900
solar_pv,solar_pv,UK,elec,1900
tidal_stream_energy,tidal_stream_energy,UK,elec,1900
wave,wave,UK,elec,1900
wind_offshore,wind_offshore,UK,elec,1900
wind_offshore_floating,wind_offshore_floating,UK,elec,1900
wind_onshore,wind_onshore,UK,elec,1900
