process_id,commodity_id,regions,years,coeff,type,cost
GASDRV,GASPRD,all,all,1,fixed,
OAGRSV,OILCRD,all,all,1,fixed,
OAGRSV,GASPRD,all,all,0.1,fixed,
GASPRC,GASPRD,all,all,-1.05,fixed,
GASPRC,GASNAT,all,all,1,fixed,
OILREF,OILCRD,all,all,-1.3,fixed,
OILREF,GASOLI,all,all,0.5,fixed,
OILREF,DIESEL,all,all,0.5,fixed,
OILRF2,OILCRD,all,all,-1.31,fixed,
OILRF2,GASOLI,all,all,1,fixed,
WNDFRM,ELCTRI,all,all,1,fixed,
GASCGT,GASNAT,all,all,-1.5,fixed,
GASCGT,ELCTRI,all,all,1,fixed,
TPETCR,GASOLI,all,all,-2.702702703,fixed,
TPETCR,TPASKM,all,all,1,fixed,
TDIECR,DIESEL,all,all,-2.222222222,fixed,
TDIECR,TPASKM,all,all,1,fixed,
TELCCR,ELCTRI,all,all,-1.754385965,fixed,
TELCCR,TPASKM,all,all,1,fixed,
THYBCR,ELCTRI,all,all,-0.854385965,fixed,
THYBCR,GASOLI,all,all,-1.0,fixed,
THYBCR,TPASKM,all,all,1,fixed,
RGASBR,GASNAT,all,all,-1.15,fixed,
RGASBR,RSHEAT,all,all,1,fixed,
RELCHP,ELCTRI,all,all,-0.33,fixed,
RELCHP,RSHEAT,all,all,1,fixed,
GASDRV,CO2EMT,all,all,5.113,fixed,
OAGRSV,CO2EMT,all,all,7.333,fixed,
GASPRC,CO2EMT,all,all,2.5565,fixed,
OILREF,CO2EMT,all,all,21.999,fixed,
OILRF2,CO2EMT,all,all,22,fixed,
GASCGT,CO2EMT,all,all,76.695,fixed,
TPETCR,CO2EMT,all,all,179.7297297,fixed,
TDIECR,CO2EMT,all,all,154.0222222,fixed,
RGASBR,CO2EMT,all,all,58.7995,fixed,
BIOPRO,BIOPRD,all,all,1.0,fixed,
BIOPLL,BIOPRD,all,all,-1.05,fixed,
BIOPLL,BIOPEL,all,all,1.0,fixed,
RBIOBL,BIOPEL,all,all,-1.2,fixed,
RBIOBL,RSHEAT,all,all,1,fixed,
